Master image width,Master image height,Master image resolution,Sampled image count,Tile size,Tile count,Tolerance,Times broken,Duration
5100,6778,34567800,12,35x77,63561,1.0,12676,28939
0,0,0,0,0x0,0,0.0,0,0
2788,1197,3337236,22,27x50,57046,1.0,2369,6103
2788,1197,3337236,22,27x50,57046,1.0,2369,6973
2656,1021,2711776,0,50x50,0,0.005,547,8812
2656,1021,2711776,22,50x50,30986,0.005,547,8326
642,883,566886,26,50x50,6656,0.005,8,6987
642,883,566886,26,38x12,36036,0.005,215,6606
800,800,640000,25,3x25,212800,0.005,8241,3429
800,800,640000,25,27x65,8700,0.005,255,1812
800,800,640000,25,32x4,125000,0.005,4881,6828
800,800,640000,25,36x64,6600,0.005,5,10561
800,800,640000,26,38x8,54600,0.005,346,3487
800,800,640000,26,33x17,29328,0.005,112,2874
800,800,640000,26,50x4,176800,0.005,6384,3142
800,800,640000,26,50x4,43472,0.005,1203,1889
800,800,640000,26,50x4,62244,0.005,1994,1900
800,800,640000,26,50x4,93600,0.005,2945,1966
800,800,640000,25,34x6,76475,0.005,2831,2053
800,800,640000,25,34x6,240000,0.005,9377,2678
800,800,640000,25,34x6,290000,0.005,11430,2285
800,800,640000,25,34x6,220000,0.005,8528,2269
800,800,640000,25,15x10,106000,0.005,3941,1808
800,800,640000,25,15x10,165000,0.005,6265,2116
800,800,640000,25,15x10,125000,0.005,4604,1821
800,800,640000,25,15x10,220000,0.005,8538,2021
792,800,633600,26,19x2,436800,0.005,9959,3606
792,800,633600,26,19x2,436800,0.005,16340,3961
792,800,633600,26,19x2,436800,0.005,16340,3441
792,800,633600,26,19x2,436800,0.005,16340,4145
3264,1836,5992704,26,4x41,98800,0.005,0,16484
800,800,640000,25,7x40,57000,0.005,0,3444
800,800,640000,25,30x10,52000,0.005,0,2448
800,800,640000,25,10x50,32000,0.005,0,2057
800,800,640000,25,10x50,15275,0.005,0,1836
800,800,640000,25,10x50,11900,0.005,0,1604
800,800,640000,25,10x50,15000,0.005,0,1657
800,800,640000,26,50x6,55328,0.005,0,2614
800,800,640000,26,50x6,34320,0.005,0,1908
800,800,640000,26,50x6,22230,0.005,0,1741
800,800,640000,26,50x6,22100,0.005,0,1592
800,800,640000,26,50x6,55328,0.005,0,2533
800,800,640000,26,50x6,156000,0.005,0,6034
800,800,640000,26,50x6,187200,0.005,0,4389
800,800,640000,26,50x6,187200,0.005,0,4520
1000,562,562000,66,50x9,532921,0.005,0,13770
1000,562,562000,66,54x5,803431,0.005,0,38137
1000,562,562000,66,54x5,659789,0.005,0,15605
1000,562,562000,66,54x5,659789,0.005,0,13744
810,650,526500,26,24x6,114114,0.005,0,4014
810,650,526500,26,24x6,76608,0.005,0,3094
810,650,526500,26,24x6,44460,0.005,0,1962
810,650,526500,26,24x6,112632,0.005,0,2502
810,650,526500,26,24x6,149760,0.005,0,3113
810,650,526500,26,24x6,149760,0.005,0,3154
810,650,526500,26,24x6,149760,0.005,0,2962
810,650,526500,26,24x6,436800,0.005,0,16197
810,650,526500,26,24x6,436800,0.005,0,15859
810,650,526500,26,12x5,274560,0.005,0,6795
3264,1836,5992704,98,100x100,21817,1.0,0,10957
3264,1836,5992704,26,100x100,1664,0.005,0,2960
3264,1836,5992704,26,58x100,2704,0.005,0,2498
800,800,640000,25,33x50,9600,1.0,0,1902
800,800,640000,26,50x50,6656,1.0,0,2261
800,800,640000,26,50x50,6656,1.0,0,2341
800,800,640000,26,50x50,6656,0.005,0,2079
800,800,640000,26,50x50,6656,1.0,0,2159
3264,1836,5992704,98,100x100,21817,1.0,0,11241
3264,1836,5992704,98,76x77,37618,1.0,966,11621
