"Meters","Total Time","Pace","Date","Age","Class","Type","Comments",
"42195","3:09:54.0","2:15.0","2013-11-29","20","H","standard","",
"4000","14:14.0","1:46.7","2013-12-09","20","H","standard","",
"2000","7:21.0","1:50.2","2013-12-07","20","H","standard","",
"2000","7:23.0","1:50.7","2013-12-07","20","H","standard","",
"1725","6:52.0","1:59.4","2013-12-09","20","H","standard","",
"1310","5:00.0","1:54.5","2013-12-08","20","H","standard","",
"1740","6:00.0","1:43.4","2013-12-11","20","H","standard","",
"2000","7:04.0","1:46.0","2013-12-11","20","H","standard","",
"14000","54:25.0","1:56.6","2013-12-16","20","H","standard","",
"7000","26:00.0","1:51.4","2013-12-22","20","H","standard","",
"9800","1:00:00.0","3:03.6","2013-12-24","20","H","standard","",
"13333","52:00.0","1:57.0","2013-12-24","20","H","standard","",
"2600","10:00.0","1:55.3","2014-01-02","20","H","standard","",
"4500","18:00.0","2:00.0","2014-01-12","20","H","standard","",
"1320","5:00.0","1:53.6","2014-01-12","20","H","standard","",
"5000","18:51.0","1:53.1","2014-01-12","20","H","standard","",
"5015","20:00.0","1:59.6","2014-01-22","20","H","standard","",
"4830","20:00.0","2:04.2","2014-01-22","20","H","standard","",
"1500","5:23.0","1:47.6","2014-01-25","20","H","standard","",
"1500","5:41.0","1:53.6","2014-01-25","20","H","standard","",
"1500","5:36.0","1:52.0","2014-01-25","20","H","standard","",
"5000","19:28.0","1:56.8","2014-01-26","20","H","standard","",
"6000","23:00.0","1:55.0","2014-01-29","20","H","standard","",
"4000","14:53.0","1:51.6","2014-02-04","20","H","standard","",
"2000","7:30.0","1:52.5","2014-02-04","20","H","standard","",
"1000","3:45.0","1:52.5","2014-02-04","20","H","standard","",
"500","1:47.0","1:47.0","2014-02-04","20","H","standard","",
"500","1:49.0","1:49.0","2014-02-04","20","H","standard","",
"250","00:47.1","1:34.2","2014-02-04","20","H","standard","",
"250","00:47.8","1:35.6","2014-02-04","20","H","standard","",
"10000","40:00.8","2:00.0","2014-02-05","20","H","standard","",
"2000","7:00.1","1:45.0","2014-02-12","20","H","standard","",
"2550","10:00.0","1:57.6","2014-02-12","20","H","standard","",
"1890","10:00.0","2:38.7","2014-02-12","20","H","standard","",
"5200","20:00.0","1:55.3","2014-02-18","20","H","standard","",
"5020","20:00.0","1:59.5","2014-02-18","20","H","standard","",
"1330","5:00.0","1:52.7","2014-02-19","20","H","standard","",
"1370","5:00.0","1:49.4","2014-02-19","20","H","standard","",
"650","2:01.7","1:33.6","2014-02-22","20","H","standard","",
"650","2:05.1","1:36.2","2014-02-22","20","H","standard","",
"650","2:07.8","1:38.3","2014-02-22","20","H","standard","",
"1100","4:00.0","1:49.0","2014-02-22","20","H","standard","",
"3000","11:00.0","1:50.0","2014-02-22","20","H","standard","",
"690","2:30.0","1:48.6","2014-02-27","20","H","standard","",
"720","2:30.0","1:44.1","2014-02-27","20","H","standard","",
"690","2:30.0","1:48.6","2014-02-27","20","H","standard","",
"690","2:30.0","1:48.6","2014-02-27","20","H","standard","",
"690","2:30.0","1:48.6","2014-02-27","20","H","standard","",
"680","2:30.0","1:50.2","2014-02-27","20","H","standard","",
"680","2:30.0","1:50.2","2014-02-27","20","H","standard","",
"680","2:30.0","1:50.2","2014-02-27","20","H","standard","",
"680","2:30.0","1:50.2","2014-02-27","20","H","standard","",
"680","2:30.0","1:50.2","2014-02-27","20","H","standard","",
"680","2:30.0","1:50.2","2014-02-27","20","H","standard","",
"680","2:30.0","1:50.2","2014-02-27","20","H","standard","",
"2540","10:00.0","1:58.1","2014-03-13","20","H","standard","",
"2568","10:00.0","1:56.8","2014-03-13","20","H","standard","",
"2555","10:00.0","1:57.4","2014-03-13","20","H","standard","",
"2528","10:00.0","1:58.6","2014-03-13","20","H","standard","",
"1000","3:27.0","1:43.5","2014-03-17","20","H","standard","",
"1000","3:32.1","1:46.0","2014-03-17","20","H","standard","",
"1000","3:32.7","1:46.3","2014-03-17","20","H","standard","",
"1000","3:32.2","1:46.1","2014-03-17","20","H","standard","",
"1260","5:00.0","1:59.0","2014-03-17","20","H","standard","",
"1300","5:00.0","1:55.3","2014-03-20","20","H","standard","",
"2000","7:24.0","1:51.0","2014-03-20","20","H","standard","",
"2000","7:09.0","1:47.2","2014-03-20","20","H","standard","",
"500","1:49.0","1:49.0","2014-03-20","20","H","standard","",
"500","1:51.0","1:51.0","2014-03-20","20","H","standard","",
"500","1:54.0","1:54.0","2014-03-20","20","H","standard","",
"500","1:43.0","1:43.0","2014-03-20","20","H","standard","",
"1333","5:00.0","1:52.5","2014-03-24","20","H","standard","",
"2000","7:16.0","1:49.0","2014-03-24","20","H","standard","",
"2000","7:31.0","1:52.7","2014-03-24","20","H","standard","",
"1330","5:05.0","1:54.6","2014-04-09","20","H","standard","",
"7500","32:00.0","2:08.0","2014-04-10","20","H","standard","",
"4830","19:00.0","1:58.0","2014-04-15","20","H","standard","",
"4760","19:00.0","1:59.7","2014-04-15","20","H","standard","",
"1260","5:00.0","1:59.0","2014-04-15","20","H","standard","",
"5000","18:51.0","1:53.1","2014-04-21","20","H","standard","",
