year,month,day,radial distance,one-way light-time,velocity wrt sun,distance from sun (mi miles),distance from sun (mi km),ra hh,ra mm,ra ss,dec dd,dec mm,dec ss
1977,Sep,5,1.01,0:00:00,43.58,150.81,93.71,21,5,44.18,-26,16,8.6
1977,Sep,19,1.03,0:00:41,39.24,154.47,95.98,4,26,12.24,25,45,1.2
1977,Oct,19,1.21,0:02:08,35.89,180.98,112.46,4,2,42.3,24,33,4.6
1977,Nov,18,1.48,0:04:06,31.93,221.59,137.69,3,28,59.17,21,58,50.5
1977,Dec,18,1.78,0:07:18,28.58,266.72,165.73,3,22,12.39,20,40,48.8
1978,Jan,17,2.09,0:11:43,25.92,312.24,194.02,3,41,1.97,21,9,51.3
1978,Feb,16,2.38,0:16:58,23.79,356.64,221.61,4,13,53.92,22,22,42.7
1978,Mar,18,2.67,0:22:34,22.06,399.39,248.17,4,53,35.48,23,30,21.3
1978,Apr,17,2.94,0:28:00,20.61,440.36,273.63,5,36,2.98,24,7,31.2
1978,May,17,3.21,0:32:49,19.38,479.57,297.99,6,18,41.88,24,4,55.9
1978,Jun,16,3.46,0:36:39,18.31,517.11,321.32,6,59,42.01,23,23,34.5
1978,Jul,16,3.7,0:39:12,17.38,553.07,343.66,7,37,36.53,22,11,10.9
1978,Aug,15,3.93,0:40:18,16.56,587.57,365.1,8,11,5.03,20,40,17.5
1978,Sep,14,4.15,0:39:57,15.82,620.69,385.68,8,38,33.71,19,7,33.2
1978,Oct,14,4.36,0:38:22,15.15,652.54,405.47,8,57,53.69,17,53,38.5
1978,Nov,13,4.57,0:36:03,14.55,683.2,424.52,9,6,12.37,17,21,30.3
1978,Dec,13,4.76,0:33:58,14,712.77,442.89,9,0,51.09,17,47,19
1979,Jan,12,4.96,0:33:18,13.52,741.37,460.67,8,42,55.26,19,0,14.4
1979,Feb,11,5.14,0:34:57,13.16,769.28,478.01,8,20,57.92,20,16,9.5
1979,Mar,13,5.32,0:38:43,24.47,796,494.61,8,10,34.09,20,48,59.5
1979,Apr,12,5.42,0:42:48,23.55,810.14,503.4,8,20,15.4,20,26,2.2
